,auth_dt,state_name,purchase_category_nm,online_part,online_regarding_avg,offline_regarding_avg,total_regarding_avg,coronaindex,day,month,year
2345932,13-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,208.87,108.0,3.7,13,9,2021
2345936,24-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,103.0,53.0,4.2,24,9,2021
2348746,06-09-2021,Республика Бурятия,СПОРТТОВАРЫ,2.17,166.0,207.34,206.0,5.9,6,9,2021
2348753,30-09-2021,Республика Бурятия,МЕД. УСЛУГИ,1.02,882.0,335.55,338.0,10.0,30,9,2021
2348935,12-09-2021,Республика Бурятия,СПОРТТОВАРЫ,1.92,164.0,233.16,231.0,6.2,12,9,2021
2348965,21-09-2021,Республика Бурятия,ТРАНСПОРТ,37.78,302.0,344.96,327.0,10.0,21,9,2021
2349565,11-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",6.36,383.0,337.01,340.0,9.1,11,9,2021
2350080,07-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",10.53,819.0,259.89,280.0,8.2,7,9,2021
2351747,14-09-2021,Республика Бурятия,ОТЕЛИ,14.0,122.0,186.8,174.0,8.5,14,9,2021
2351958,24-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,87.5,214.0,75.86,174.0,6.1,24,9,2021
2352295,05-09-2021,Республика Бурятия,DUTY FREE,,,0.0,0.0,-0.5,5,9,2021
2352982,25-09-2021,Республика Бурятия,DUTY FREE,0.0,,62.44,62.0,1.2,25,9,2021
2355365,25-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",17.39,147.0,303.41,256.0,10.0,25,9,2021
2356339,04-09-2021,Республика Бурятия,ФАСТФУД,6.06,3454.0,391.52,414.0,10.0,4,9,2021
2356345,17-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,335.49,319.0,5.8,17,9,2021
2356367,04-09-2021,Республика Бурятия,МУЗЫКА,33.33,56.0,105.63,82.0,4.9,4,9,2021
2357262,07-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,234.11,231.0,9.2,7,9,2021
2358367,05-09-2021,Республика Бурятия,ФАСТФУД,5.85,2712.0,319.18,337.0,10.0,5,9,2021
2358726,16-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,37.68,535.0,819.77,683.0,10.0,16,9,2021
2359312,03-09-2021,Республика Бурятия,ИСКУССТВО,,0.0,0.0,0.0,0.2,3,9,2021
2360804,09-09-2021,Республика Бурятия,ТОПЛИВО,0.39,,247.34,248.0,9.0,9,9,2021
