,auth_dt,state_name,purchase_category_nm,online_part,online_regarding_avg,offline_regarding_avg,total_regarding_avg,coronaindex,day,month,year
2497289,23-09-2021,Республика Бурятия,АВТО УСЛУГИ,7.55,412.0,268.39,276.0,8.4,23,9,2021
2497504,18-09-2021,Республика Бурятия,КНИГИ,0.0,0.0,318.84,274.0,10.0,18,9,2021
2497710,11-09-2021,Республика Бурятия,ОТЕЛИ,15.52,158.0,213.63,203.0,9.1,11,9,2021
2498308,30-09-2021,Республика Бурятия,ЦВЕТЫ,10.0,1242.0,408.87,438.0,2.2,30,9,2021
2501038,12-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,301.79,97.0,8.6,12,9,2021
2502051,02-09-2021,Республика Бурятия,КИНО,28.57,1575.0,102.49,140.0,4.6,2,9,2021
2503821,24-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,594.48,192.0,10.0,24,9,2021
2503989,03-09-2021,Республика Бурятия,ФАСТФУД,5.94,3211.0,372.05,393.0,10.0,3,9,2021
2505548,26-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.69,152.0,190.22,190.0,7.3,26,9,2021
2508498,10-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,22.73,147.0,606.3,354.0,10.0,10,9,2021
2511131,11-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",33.33,237.0,205.48,215.0,10.0,11,9,2021
2511133,21-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,50.0,122.0,304.56,175.0,4.8,21,9,2021
2512710,29-09-2021,Республика Бурятия,НКО,72.09,277.0,62.27,141.0,3.9,29,9,2021
2512728,22-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,76.0,138.0,64.62,108.0,9.8,22,9,2021
2513887,06-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,79.17,141.0,54.99,106.0,10.0,6,9,2021
2515475,27-09-2021,Республика Бурятия,КНИГИ,7.14,160.0,342.8,317.0,10.0,27,9,2021
2515548,21-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,301.95,302.0,10.0,21,9,2021
2515616,02-09-2021,Республика Бурятия,ГОС. СБОРЫ,50.0,200.0,425.64,272.0,9.3,2,9,2021
2516816,21-09-2021,Республика Бурятия,ЦВЕТЫ,20.0,2504.0,366.46,442.0,1.5,21,9,2021
2517114,22-09-2021,Республика Бурятия,ГОС. СБОРЫ,75.0,404.0,287.12,367.0,9.0,22,9,2021
2517194,28-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,294.05,290.0,8.8,28,9,2021
2517745,02-09-2021,Республика Бурятия,КРАСОТА,44.55,410.0,205.67,264.0,9.1,2,9,2021
2518591,29-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,332.75,333.0,10.0,29,9,2021
2519570,25-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,58.54,238.0,86.97,138.0,9.2,25,9,2021
2520852,08-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,51.32,100.0,88.06,94.0,3.5,8,9,2021
2521094,12-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,58.33,103.0,109.12,105.0,8.5,12,9,2021
2522171,30-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",11.86,722.0,321.0,344.0,9.0,30,9,2021
2522222,05-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,80.0,119.0,44.06,89.0,7.8,5,9,2021
2523281,28-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,68.18,414.0,316.77,377.0,10.0,28,9,2021
2523352,19-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",3.34,165.0,284.75,278.0,7.3,19,9,2021
2524691,09-09-2021,Республика Бурятия,АРЕНДА АВТО,75.0,639.0,123.72,313.0,4.7,9,9,2021
2526033,26-09-2021,Республика Бурятия,ТРАНСПОРТ,58.33,371.0,184.09,261.0,10.0,26,9,2021
2526645,29-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,70.0,213.0,226.78,217.0,6.1,29,9,2021
2526717,20-09-2021,Республика Бурятия,ГОС. СБОРЫ,51.85,210.0,415.94,276.0,10.0,20,9,2021
2527054,10-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,13.95,60.0,192.46,148.0,8.2,10,9,2021
2528433,23-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,292.2,292.0,10.0,23,9,2021
2528759,14-09-2021,Республика Бурятия,АПТЕКИ,0.85,4261.0,356.19,359.0,10.0,14,9,2021
2529592,17-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",4.77,265.0,316.15,313.0,9.1,17,9,2021
2529661,13-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,232.35,229.0,9.6,13,9,2021
2532089,24-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,229.17,226.0,7.7,24,9,2021
2532565,13-09-2021,Республика Бурятия,НКО,56.25,82.0,36.96,53.0,2.6,13,9,2021
2532701,11-09-2021,Республика Бурятия,АВТО УСЛУГИ,4.0,235.0,299.98,297.0,8.6,11,9,2021
2532948,08-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,157.55,81.0,2.5,8,9,2021
2533362,18-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,1.98,283.0,306.87,306.0,10.0,18,9,2021
2533907,02-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,58.18,671.0,447.28,555.0,10.0,2,9,2021
2536353,11-09-2021,Республика Бурятия,КИНО,16.67,1555.0,202.4,237.0,4.7,11,9,2021
2538031,24-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,7.39,129.0,834.09,594.0,10.0,24,9,2021
2538800,10-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,2.3,330.0,307.25,308.0,10.0,10,9,2021
2539184,03-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",13.59,752.0,286.05,312.0,8.9,3,9,2021
2539339,21-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",35.59,259.0,203.07,220.0,10.0,21,9,2021
2540318,03-09-2021,Республика Бурятия,НКО,37.5,55.0,53.46,54.0,2.7,3,9,2021
2541838,19-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,13.7,100.0,324.48,248.0,9.0,19,9,2021
2542968,28-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",12.59,724.0,300.6,324.0,8.9,28,9,2021
2545826,06-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,13.33,125.0,754.59,452.0,10.0,6,9,2021
2547066,18-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,60.44,306.0,328.63,315.0,10.0,18,9,2021
2547069,21-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.75,152.0,176.27,176.0,8.5,21,9,2021
2547071,25-09-2021,Республика Бурятия,СПОРТТОВАРЫ,4.55,486.0,283.62,289.0,7.9,25,9,2021
2547230,01-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,2.1,279.0,283.77,284.0,10.0,1,9,2021
2549119,15-09-2021,Республика Бурятия,ТРАНСПОРТ,45.24,339.0,285.0,307.0,10.0,15,9,2021
2549608,12-09-2021,Республика Бурятия,ТОПЛИВО,0.41,,235.93,237.0,8.9,12,9,2021
2550549,10-09-2021,Республика Бурятия,ТРАНСПОРТ,26.67,360.0,686.26,552.0,10.0,10,9,2021
2552791,08-09-2021,Республика Бурятия,ИСКУССТВО,,0.0,0.0,0.0,4.9,8,9,2021
2552997,20-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,63.75,283.0,264.32,276.0,10.0,20,9,2021
2553623,09-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",47.06,200.0,97.63,129.0,10.0,9,9,2021
2554146,19-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,57.29,306.0,374.24,332.0,10.0,19,9,2021
2555059,30-09-2021,Республика Бурятия,ЖИВОТНЫЕ,9.09,2388.0,325.88,354.0,10.0,30,9,2021
2556613,17-09-2021,Республика Бурятия,КИНО,23.53,3083.0,260.89,333.0,5.6,17,9,2021
2556966,15-09-2021,Республика Бурятия,МЕД. УСЛУГИ,2.56,2684.0,399.94,409.0,10.0,15,9,2021
2557866,24-09-2021,Республика Бурятия,АРЕНДА АВТО,66.67,418.0,121.45,230.0,8.0,24,9,2021
2560543,13-09-2021,Республика Бурятия,ТРАНСПОРТ,38.78,341.0,373.36,360.0,10.0,13,9,2021
2560579,27-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",10.33,554.0,287.72,303.0,8.6,27,9,2021
2560897,13-09-2021,Республика Бурятия,ИСКУССТВО,,0.0,0.0,0.0,0.2,13,9,2021
2560901,23-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",5.68,482.0,298.5,305.0,7.8,23,9,2021
2560963,15-09-2021,Республика Бурятия,ФОТО/ВИДЕО,33.33,143.0,600.13,291.0,10.0,15,9,2021
2561235,19-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,17.54,73.0,414.93,227.0,7.0,19,9,2021
2562834,08-09-2021,Республика Бурятия,ФОТО/ВИДЕО,13.33,145.0,1970.2,734.0,10.0,8,9,2021
2562844,25-09-2021,Республика Бурятия,ОТЕЛИ,14.63,104.0,150.21,141.0,8.7,25,9,2021
2563872,16-09-2021,Республика Бурятия,ТОПЛИВО,0.0,,261.06,261.0,9.3,16,9,2021
2564190,08-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,3.76,441.0,247.39,252.0,10.0,8,9,2021
2564810,21-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,155.07,80.0,4.2,21,9,2021
2565225,27-09-2021,Республика Бурятия,АВТО УСЛУГИ,5.08,308.0,306.0,306.0,9.1,27,9,2021
2565419,18-09-2021,Республика Бурятия,ЦВЕТЫ,10.53,1256.0,390.49,421.0,2.1,18,9,2021
2565688,09-09-2021,Республика Бурятия,АВТО УСЛУГИ,15.66,812.0,232.63,262.0,8.3,9,9,2021
2566534,11-09-2021,Республика Бурятия,АРЕНДА АВТО,33.33,212.0,246.69,234.0,6.4,11,9,2021
2566710,06-09-2021,Республика Бурятия,ТРАНСПОРТ,38.1,290.0,326.56,311.0,10.0,6,9,2021
2567103,03-09-2021,Республика Бурятия,КРАСОТА,19.48,136.0,227.28,201.0,9.9,3,9,2021
2567626,20-09-2021,Республика Бурятия,КИНО,14.29,769.0,120.18,137.0,3.8,20,9,2021
2567959,13-09-2021,Республика Бурятия,КНИГИ,3.57,163.0,722.61,643.0,10.0,13,9,2021
2569180,17-09-2021,Республика Бурятия,АРЕНДА АВТО,66.67,421.0,122.3,232.0,5.2,17,9,2021
2569699,21-09-2021,Республика Бурятия,НКО,75.0,243.0,47.04,119.0,3.4,21,9,2021
2569989,01-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,159.14,82.0,4.4,1,9,2021
2570408,04-09-2021,Республика Бурятия,ЦВЕТЫ,0.0,0.0,397.82,384.0,1.6,4,9,2021
2570409,05-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,335.55,331.0,9.7,5,9,2021
2571063,23-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,1.6,206.0,277.06,276.0,10.0,23,9,2021
2571097,26-09-2021,Республика Бурятия,ОТЕЛИ,19.4,225.0,231.78,230.0,9.2,26,9,2021
2572870,01-09-2021,Республика Бурятия,ГОС. СБОРЫ,57.69,231.0,360.69,272.0,8.7,1,9,2021
2576478,26-09-2021,Республика Бурятия,МЕД. УСЛУГИ,15.79,5317.0,111.19,132.0,4.3,26,9,2021
2577138,08-09-2021,Республика Бурятия,КНИГИ,14.81,654.0,619.09,624.0,10.0,8,9,2021
2577147,27-09-2021,Республика Бурятия,ТОПЛИВО,0.38,,246.34,247.0,8.3,27,9,2021
2577149,29-09-2021,Республика Бурятия,КНИГИ,11.76,320.0,394.55,384.0,10.0,29,9,2021
2577171,08-09-2021,Республика Бурятия,НКО,11.54,27.0,122.13,87.0,3.1,8,9,2021
2577174,12-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,332.39,328.0,10.0,12,9,2021
2577205,01-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,16.88,97.0,578.2,314.0,10.0,1,9,2021
2577207,04-09-2021,Республика Бурятия,КРАСОТА,23.26,182.0,241.69,224.0,10.0,4,9,2021
2577216,21-09-2021,Республика Бурятия,МЕД. УСЛУГИ,0.0,0.0,432.52,431.0,10.0,21,9,2021
2577241,16-09-2021,Республика Бурятия,МЕД. УСЛУГИ,0.0,0.0,409.95,408.0,10.0,16,9,2021
2577986,14-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,331.3,327.0,10.0,14,9,2021
2579092,29-09-2021,Республика Бурятия,ФАСТФУД,5.03,2397.0,331.35,346.0,10.0,29,9,2021
2579393,21-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,79.41,196.0,75.51,147.0,10.0,21,9,2021
2580609,27-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,42.26,89.0,113.08,102.0,2.8,27,9,2021
2581488,30-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,8.62,1087.0,252.33,270.0,10.0,30,9,2021
2583360,21-09-2021,Республика Бурятия,КРАСОТА,23.61,151.0,197.13,184.0,8.9,21,9,2021
2583414,14-09-2021,Республика Бурятия,СПОРТТОВАРЫ,20.0,819.0,91.13,111.0,3.7,14,9,2021
2583776,20-09-2021,Республика Бурятия,АРЕНДА АВТО,50.0,210.0,122.06,154.0,5.2,20,9,2021
2584151,22-09-2021,Республика Бурятия,МЕД. УСЛУГИ,0.76,888.0,456.2,458.0,10.0,22,9,2021
2584428,18-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",30.95,161.0,155.42,157.0,10.0,18,9,2021
2585048,02-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.0,0.0,169.67,168.0,8.4,2,9,2021
2586856,12-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,67.96,89.0,39.1,63.0,2.2,12,9,2021
2588157,17-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,35.82,317.0,526.44,426.0,4.5,17,9,2021
2588267,06-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,301.5,297.0,10.0,6,9,2021
2589730,06-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",8.32,415.0,273.39,281.0,9.1,6,9,2021
2589734,13-09-2021,Республика Бурятия,АВТО УСЛУГИ,24.41,1903.0,313.35,394.0,9.8,13,9,2021
2590374,14-09-2021,Республика Бурятия,КНИГИ,10.0,325.0,480.81,459.0,10.0,14,9,2021
2590696,08-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.75,155.0,180.44,180.0,8.5,8,9,2021
2591651,16-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,39.29,330.0,263.12,286.0,10.0,16,9,2021
2592847,29-09-2021,Республика Бурятия,КИНО,20.0,763.0,79.44,97.0,3.7,29,9,2021
2593068,18-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,42.98,356.0,573.89,454.0,8.9,18,9,2021
2593150,20-09-2021,Республика Бурятия,СУВЕНИРЫ,0.0,0.0,152.21,145.0,5.3,20,9,2021
2595101,06-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,2.77,354.0,272.47,274.0,10.0,6,9,2021
2595459,28-09-2021,Республика Бурятия,ТОПЛИВО,0.37,,254.62,256.0,8.3,28,9,2021
2595825,22-09-2021,Республика Бурятия,АРЕНДА АВТО,33.33,210.0,243.42,231.0,5.2,22,9,2021
2595904,16-09-2021,Республика Бурятия,КИНО,30.77,3087.0,180.85,255.0,4.7,16,9,2021
2596175,25-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,22.41,265.0,850.69,569.0,10.0,25,9,2021
2596261,27-09-2021,Республика Бурятия,АПТЕКИ,3.57,16823.0,324.57,336.0,10.0,27,9,2021
2597118,02-09-2021,Республика Бурятия,АВТО УСЛУГИ,4.62,291.0,319.26,318.0,8.3,2,9,2021
2597421,27-09-2021,Республика Бурятия,СПОРТТОВАРЫ,2.5,162.0,175.43,175.0,5.0,27,9,2021
2597902,01-09-2021,Республика Бурятия,ТОПЛИВО,0.38,,254.97,256.0,9.1,1,9,2021
2599456,12-09-2021,Республика Бурятия,ФАСТФУД,6.49,3664.0,385.84,410.0,10.0,12,9,2021
2599596,17-09-2021,Республика Бурятия,ИСКУССТВО,,0.0,0.0,0.0,1.3,17,9,2021
2600101,13-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",8.38,537.0,219.1,231.0,6.9,13,9,2021
2600501,24-09-2021,Республика Бурятия,ОТЕЛИ,27.14,328.0,218.93,241.0,9.3,24,9,2021
2601148,29-09-2021,Республика Бурятия,ЦВЕТЫ,4.0,622.0,545.74,548.0,1.6,29,9,2021
2601233,13-09-2021,Республика Бурятия,ФОТО/ВИДЕО,20.0,144.0,1205.5,487.0,10.0,13,9,2021
2601600,12-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,3.0,351.0,248.24,250.0,10.0,12,9,2021
2601831,28-09-2021,Республика Бурятия,DUTY FREE,0.0,,374.0,374.0,2.6,28,9,2021
2602449,12-09-2021,Республика Бурятия,АВТО УСЛУГИ,5.84,235.0,201.32,203.0,7.4,12,9,2021
2602893,07-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,34.04,333.0,598.8,471.0,10.0,7,9,2021
2602932,22-09-2021,Республика Бурятия,АВТО УСЛУГИ,7.93,464.0,286.41,295.0,8.6,22,9,2021
2603412,17-09-2021,Республика Бурятия,СПОРТТОВАРЫ,5.88,489.0,217.64,225.0,6.7,17,9,2021
2603725,15-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,73.21,458.0,274.65,388.0,10.0,15,9,2021
2604015,08-09-2021,Республика Бурятия,АВТО УСЛУГИ,3.76,184.0,249.61,246.0,8.1,8,9,2021
2604154,15-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.7,153.0,189.38,189.0,9.1,15,9,2021
2605398,09-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,62.5,282.0,277.14,280.0,10.0,9,9,2021
2605406,22-09-2021,Республика Бурятия,РЕСТОРАНЫ,0.71,152.0,185.32,185.0,8.8,22,9,2021
2606623,16-09-2021,Республика Бурятия,ЦВЕТЫ,5.88,629.0,368.12,377.0,1.7,16,9,2021
2606989,27-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,57.38,193.0,235.55,209.0,9.3,27,9,2021
2609265,08-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,39.66,478.0,674.86,580.0,10.0,8,9,2021
2610048,01-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,459.24,148.0,10.0,1,9,2021
2610564,13-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,64.79,258.0,229.87,247.0,9.7,13,9,2021
2610673,22-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,67.59,404.0,318.07,372.0,10.0,22,9,2021
2612286,10-09-2021,Республика Бурятия,ИСКУССТВО,0.0,0.0,24659.74,11097.0,1.3,10,9,2021
2612507,02-09-2021,Республика Бурятия,СУВЕНИРЫ,16.67,597.0,155.76,178.0,4.6,2,9,2021
2612787,19-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",27.5,136.0,155.41,150.0,9.7,19,9,2021
2612948,19-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,52.94,554.0,456.76,504.0,10.0,19,9,2021
2613108,01-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,33.33,31.0,156.27,67.0,6.1,1,9,2021
2613635,19-09-2021,Республика Бурятия,СПОРТТОВАРЫ,1.54,163.0,290.06,287.0,7.4,19,9,2021
2613834,05-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,1.47,166.0,243.57,242.0,10.0,5,9,2021
2613835,07-09-2021,Республика Бурятия,DUTY FREE,0.0,,255.22,255.0,1.7,7,9,2021
2613837,15-09-2021,Республика Бурятия,ФАСТФУД,5.53,2914.0,364.1,383.0,10.0,15,9,2021
2616843,09-09-2021,Республика Бурятия,ТРАНСПОРТ,37.21,288.0,337.6,317.0,10.0,9,9,2021
2617159,26-09-2021,Республика Бурятия,РАЗВЛЕЧЕНИЯ,57.69,249.0,299.22,268.0,10.0,26,9,2021
2617630,11-09-2021,Республика Бурятия,ТРАНСПОРТ,51.22,377.0,249.32,302.0,10.0,11,9,2021
2617664,19-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,218.01,218.0,9.2,19,9,2021
2618834,04-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,25.0,63.0,466.76,179.0,6.8,4,9,2021
2619330,09-09-2021,Республика Бурятия,КНИГИ,0.0,0.0,457.11,393.0,10.0,9,9,2021
2619678,19-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,747.94,242.0,7.8,19,9,2021
2619801,25-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",5.43,529.0,344.11,351.0,9.5,25,9,2021
2620490,08-09-2021,Республика Бурятия,МЕД. УСЛУГИ,0.96,904.0,365.01,367.0,10.0,8,9,2021
2620500,24-09-2021,Республика Бурятия,КРАСОТА,16.22,106.0,221.4,188.0,10.0,24,9,2021
2620721,26-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,1.38,162.0,252.98,251.0,10.0,26,9,2021
2620828,14-09-2021,Республика Бурятия,АРЕНДА АВТО,0.0,0.0,122.91,78.0,7.0,14,9,2021
2621490,11-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,23.73,103.0,400.86,237.0,10.0,11,9,2021
2621893,15-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,155.97,80.0,3.1,15,9,2021
2622746,30-09-2021,Республика Бурятия,МУЗЫКА,0.0,0.0,153.79,79.0,4.8,30,9,2021
2623219,24-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",7.77,626.0,277.15,290.0,8.0,24,9,2021
2623584,13-09-2021,Республика Бурятия,АРЕНДА АВТО,0.0,0.0,123.14,78.0,7.0,13,9,2021
2625923,04-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",8.11,658.0,278.07,292.0,8.8,4,9,2021
2626104,22-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,27.12,327.0,814.77,580.0,10.0,22,9,2021
2626247,13-09-2021,Республика Бурятия,КИНО,33.33,2328.0,121.24,177.0,3.3,13,9,2021
2626706,29-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",9.9,574.0,312.44,327.0,8.6,29,9,2021
2627241,11-09-2021,Республика Бурятия,ТОПЛИВО,0.35,,272.59,274.0,9.2,11,9,2021
2628121,24-09-2021,Республика Бурятия,СПОРТТОВАРЫ,4.55,324.0,189.12,193.0,5.7,24,9,2021
2628631,12-09-2021,Республика Бурятия,ТРАНСПОРТ,52.78,341.0,211.86,265.0,10.0,12,9,2021
2628632,13-09-2021,Республика Бурятия,ТОПЛИВО,0.0,,243.3,243.0,9.0,13,9,2021
2628667,09-09-2021,Республика Бурятия,ФАСТФУД,4.74,2206.0,324.39,338.0,10.0,9,9,2021
2629096,03-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,50.0,63.0,155.74,89.0,6.5,3,9,2021
2629102,19-09-2021,Республика Бурятия,ЧАСТНЫЕ УСЛУГИ,18.18,61.0,687.17,241.0,5.7,19,9,2021
2629548,15-09-2021,Республика Бурятия,ОТЕЛИ,46.3,436.0,125.67,187.0,7.5,15,9,2021
2629733,21-09-2021,Республика Бурятия,"ДОМ, РЕМОНТ",12.19,528.0,227.59,245.0,8.3,21,9,2021
2632781,19-09-2021,Республика Бурятия,КРАСОТА,7.58,45.0,219.25,169.0,10.0,19,9,2021
2633327,22-09-2021,Республика Бурятия,ЖИВОТНЫЕ,0.0,0.0,229.65,227.0,10.0,22,9,2021
2633932,17-09-2021,Республика Бурятия,АПТЕКИ,0.89,4239.0,336.24,339.0,10.0,17,9,2021
2635027,09-09-2021,Республика Бурятия,ФОТО/ВИДЕО,0.0,0.0,454.18,147.0,10.0,9,9,2021
2637179,30-09-2021,Республика Бурятия,АПТЕКИ,3.48,16763.0,332.4,344.0,10.0,30,9,2021
2638059,20-09-2021,Республика Бурятия,КРАСОТА,21.92,143.0,204.57,187.0,10.0,20,9,2021
2638608,18-09-2021,Республика Бурятия,МЕД. УСЛУГИ,0.0,0.0,181.9,181.0,7.2,18,9,2021
2638738,09-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",12.1,801.0,217.08,238.0,7.8,9,9,2021
2638745,23-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,44.29,117.0,136.72,127.0,3.8,23,9,2021
2639824,27-09-2021,Республика Бурятия,ФАСТФУД,4.98,2403.0,335.69,351.0,10.0,27,9,2021
2639875,09-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,26.09,177.0,607.57,371.0,10.0,9,9,2021
2639989,02-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,43.86,129.0,153.63,142.0,4.3,2,9,2021
2640108,07-09-2021,Республика Бурятия,КИНО,20.0,782.0,81.44,99.0,3.8,7,9,2021
2640792,02-09-2021,Республика Бурятия,Ж/Д БИЛЕТЫ,77.78,156.0,66.32,120.0,7.8,2,9,2021
2642281,20-09-2021,Республика Бурятия,АВИАБИЛЕТЫ,49.22,80.0,76.24,78.0,2.6,20,9,2021
2642282,20-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,23.0,167.0,678.78,398.0,9.6,20,9,2021
2642495,26-09-2021,Республика Бурятия,ОБРАЗОВАНИЕ,27.27,184.0,453.73,324.0,10.0,26,9,2021
2643156,14-09-2021,Республика Бурятия,"СВЯЗЬ, ТЕЛЕКОМ",27.78,187.0,210.13,203.0,10.0,14,9,2021
2643293,18-09-2021,Республика Бурятия,ОТЕЛИ,22.81,226.0,190.13,197.0,10.0,18,9,2021
2644194,29-09-2021,Республика Бурятия,АВТО УСЛУГИ,5.69,410.0,361.11,364.0,9.0,29,9,2021
2644360,26-09-2021,Республика Бурятия,ФАСТФУД,5.74,2887.0,346.54,365.0,10.0,26,9,2021
2647271,22-09-2021,Республика Бурятия,ЦВЕТЫ,0.0,0.0,365.88,353.0,1.5,22,9,2021
2647688,30-09-2021,Республика Бурятия,СЕРВИС. УСЛУГИ,37.06,525.0,1082.64,777.0,10.0,30,9,2021
2647922,17-09-2021,Республика Бурятия,АВТО УСЛУГИ,4.15,207.0,254.74,252.0,8.7,17,9,2021
2648306,08-09-2021,Республика Бурятия,ТУРАГЕНТСТВА,29.27,121.0,151.33,141.0,8.0,8,9,2021
2648908,08-09-2021,Республика Бурятия,КИНО,33.33,1561.0,81.29,119.0,2.6,8,9,2021
2649001,02-09-2021,Республика Бурятия,СУПЕРМАРКЕТЫ,2.32,289.0,266.55,267.0,10.0,2,9,2021
2649554,28-09-2021,Республика Бурятия,ГОС. СБОРЫ,44.07,388.0,1048.44,599.0,10.0,28,9,2021
2650243,28-09-2021,Республика Бурятия,ФОТО/ВИДЕО,20.0,71.0,593.28,240.0,10.0,28,9,2021
2650282,20-09-2021,Республика Бурятия,"ОДЕЖДА, ОБУВЬ",10.51,596.0,189.5,204.0,6.9,20,9,2021
2652175,27-09-2021,Республика Бурятия,ЦВЕТЫ,4.35,623.0,501.51,506.0,2.3,27,9,2021
2652382,11-09-2021,Республика Бурятия,АПТЕКИ,0.0,0.0,244.42,244.0,9.6,11,9,2021
