month,purchase_category_nm,coronaindex
2,НКО,4.949214514110941
8,ОБРАЗОВАНИЕ,4.9527528977871444
8,СЕРВИС. УСЛУГИ,4.964845034788109
4,ТОПЛИВО,4.9781176470588235
2,РАЗВЛЕЧЕНИЯ,4.982068008327551
8,ТУРАГЕНТСТВА,4.984678486372056
4,ФАСТФУД,4.993411764705882
2,ОБРАЗОВАНИЕ,5.006264501160093
1,ЖИВОТНЫЕ,5.006481848184818
5,ТРАНСПОРТ,5.019645793801392
10,РАЗВЛЕЧЕНИЯ,5.032508361204013
1,ТРАНСПОРТ,5.0562697709730475
2,РЕСТОРАНЫ,5.061743944636678
1,НКО,5.069335539714867
3,ОБРАЗОВАНИЕ,5.090596936080296
5,ОБРАЗОВАНИЕ,5.092375792811839
9,КНИГИ,5.110049986845567
6,ГОС. СБОРЫ,5.113001054852321
4,"ДОМ, РЕМОНТ",5.128918812916721
12,АВТО УСЛУГИ,5.198611111111111
4,ОБРАЗОВАНИЕ,5.2100682128240114
12,КРАСОТА,5.211655277145026
11,ГОС. СБОРЫ,5.231443197479819
11,СЕРВИС. УСЛУГИ,5.234745098039216
1,ТОПЛИВО,5.237601214574899
3,АВТО УСЛУГИ,5.266975622143219
2,ТОПЛИВО,5.279349480968858
1,ФАСТФУД,5.284602732793522
12,СЕРВИС. УСЛУГИ,5.285977229601518
3,ТОПЛИВО,5.287172675521822
9,НКО,5.32860513896172
9,СЕРВИС. УСЛУГИ,5.35518954248366
6,МЕД. УСЛУГИ,5.375528978840847
5,ФАСТФУД,5.378747628083492
12,ОБРАЗОВАНИЕ,5.3825437389424025
2,ЖИВОТНЫЕ,5.387416274761294
10,РЕСТОРАНЫ,5.403983957219252
9,РАЗВЛЕЧЕНИЯ,5.406712902381575
11,ТОПЛИВО,5.407470588235294
2,"ДОМ, РЕМОНТ",5.414256055363322
3,МЕД. УСЛУГИ,5.429243718913404
10,СЕРВИС. УСЛУГИ,5.429344919786097
10,НКО,5.442820753452206
12,МЕД. УСЛУГИ,5.444728800611153
3,"ДОМ, РЕМОНТ",5.447450980392157
7,ГОС. СБОРЫ,5.462978506931197
4,ЖИВОТНЫЕ,5.465579272385555
5,ТОПЛИВО,5.4840101201771025
11,ОБРАЗОВАНИЕ,5.494221054758538
12,ТОПЛИВО,5.499582542694497
3,ЖИВОТНЫЕ,5.505668698923336
9,АВТО УСЛУГИ,5.5063408882483955
4,АВТО УСЛУГИ,5.512862961503088
5,АВТО УСЛУГИ,5.526624365482234
2,МЕД. УСЛУГИ,5.527952042381152
10,ТОПЛИВО,5.558836898395722
3,ТРАНСПОРТ,5.560316255534472
8,ГОС. СБОРЫ,5.587072581670268
7,РЕСТОРАНЫ,5.591182795698925
11,МЕД. УСЛУГИ,5.598973346495558
7,МЕД. УСЛУГИ,5.634013950538998
5,ЖИВОТНЫЕ,5.642683557394003
4,"СВЯЗЬ, ТЕЛЕКОМ",5.659866614358572
5,"СВЯЗЬ, ТЕЛЕКОМ",5.677182991647684
2,ТРАНСПОРТ,5.679017301038063
8,РАЗВЛЕЧЕНИЯ,5.700430979845354
10,ГОС. СБОРЫ,5.7164587525150905
8,АВТО УСЛУГИ,5.721692249143727
11,ЖИВОТНЫЕ,5.7276146419951735
12,ЖИВОТНЫЕ,5.73627546071775
11,АВТО УСЛУГИ,5.747866273352999
1,"СВЯЗЬ, ТЕЛЕКОМ",5.7610787541149655
9,ГОС. СБОРЫ,5.785944881889764
12,ГОС. СБОРЫ,5.788975777226779
8,МЕД. УСЛУГИ,5.791707873716241
6,ЖИВОТНЫЕ,5.795619658119658
11,НКО,5.806476377952756
7,ЖИВОТНЫЕ,5.822351271131759
12,НКО,5.838275599543205
7,АВТО УСЛУГИ,5.860284227889862
10,АВТО УСЛУГИ,5.867095391211147
6,АВТО УСЛУГИ,5.8769714435420495
9,РЕСТОРАНЫ,5.891725490196078
6,ТРАНСПОРТ,5.892627450980392
9,МЕД. УСЛУГИ,5.892664396122609
3,"СВЯЗЬ, ТЕЛЕКОМ",5.900164556962026
8,ЖИВОТНЫЕ,5.955949464999356
10,ЖИВОТНЫЕ,5.9587665438668305
9,ЖИВОТНЫЕ,5.962717955543725
5,"ДОМ, РЕМОНТ",5.996571356275304
9,ТОПЛИВО,6.011712418300654
5,АПТЕКИ,6.012321315623024
11,ТРАНСПОРТ,6.019019607843137
11,"ДОМ, РЕМОНТ",6.0255294117647065
8,РЕСТОРАНЫ,6.035585072738773
3,ФАСТФУД,6.059165085388994
2,"СВЯЗЬ, ТЕЛЕКОМ",6.073615725359912
2,ФАСТФУД,6.114145328719723
9,ОБРАЗОВАНИЕ,6.115697125118099
10,МЕД. УСЛУГИ,6.1377882037533515
6,ТОПЛИВО,6.160653594771242
12,ТРАНСПОРТ,6.163946869070209
1,All,6.1835673624288425
4,All,6.197346405228758
10,"ДОМ, РЕМОНТ",6.216791443850267
10,"СВЯЗЬ, ТЕЛЕКОМ",6.229165552286707
4,АПТЕКИ,6.231529411764705
6,"СВЯЗЬ, ТЕЛЕКОМ",6.232866858488098
11,"СВЯЗЬ, ТЕЛЕКОМ",6.235078431372549
10,ОБРАЗОВАНИЕ,6.239508039027072
1,СУПЕРМАРКЕТЫ,6.267703984819734
7,"СВЯЗЬ, ТЕЛЕКОМ",6.277836812144213
6,ФАСТФУД,6.2778954248366015
6,АПТЕКИ,6.323477124183007
1,АПТЕКИ,6.360774389472352
8,"СВЯЗЬ, ТЕЛЕКОМ",6.423285244241964
7,ТРАНСПОРТ,6.4238709677419354
11,ФАСТФУД,6.457
9,"СВЯЗЬ, ТЕЛЕКОМ",6.468113478886129
7,АПТЕКИ,6.471018342821
12,ФАСТФУД,6.488406072106262
9,"ДОМ, РЕМОНТ",6.51797385620915
12,"ДОМ, РЕМОНТ",6.542713472485768
7,"ДОМ, РЕМОНТ",6.577874762808349
6,"ДОМ, РЕМОНТ",6.588745098039216
11,АПТЕКИ,6.628058823529411
12,АПТЕКИ,6.633149905123339
5,All,6.660480708412397
7,ТОПЛИВО,6.668728652751423
12,"СВЯЗЬ, ТЕЛЕКОМ",6.70337760910816
8,"ДОМ, РЕМОНТ",6.708880455407969
2,All,6.738671280276817
2,СУПЕРМАРКЕТЫ,6.739377162629758
8,АПТЕКИ,6.74280834914611
3,All,6.746148007590133
3,АПТЕКИ,6.768349146110057
4,СУПЕРМАРКЕТЫ,6.7738692810457515
2,АПТЕКИ,6.8075294117647065
3,СУПЕРМАРКЕТЫ,6.828260594560405
8,ТОПЛИВО,6.871954459203036
10,АПТЕКИ,6.883903743315508
8,ТРАНСПОРТ,6.911840607210626
10,ТРАНСПОРТ,6.918248663101604
11,СУПЕРМАРКЕТЫ,6.950431372549019
11,All,6.969980392156863
9,АПТЕКИ,6.974588235294117
7,ФАСТФУД,6.999759645793802
12,СУПЕРМАРКЕТЫ,7.0238330170777985
12,All,7.110948766603415
9,ТРАНСПОРТ,7.229137254901961
5,СУПЕРМАРКЕТЫ,7.285553447185326
6,All,7.361450980392156
10,СУПЕРМАРКЕТЫ,7.371965240641711
10,All,7.386510695187166
10,ФАСТФУД,7.462393048128342
8,ФАСТФУД,7.580455407969639
9,СУПЕРМАРКЕТЫ,7.634130718954248
7,All,7.663466160657811
9,All,7.6841960784313725
9,ФАСТФУД,7.776091503267974
8,All,7.896318785578748
6,СУПЕРМАРКЕТЫ,7.914183006535947
8,СУПЕРМАРКЕТЫ,8.049854522454142
7,СУПЕРМАРКЕТЫ,8.087893738140417
