iter	Passed	Remaining
420	2377	3269
421	2383	3264
422	2389	3258
423	2393	3252
424	2399	3246
425	2405	3240
426	2410	3234
427	2416	3229
428	2421	3222
429	2426	3216
430	2431	3210
431	2437	3204
432	2442	3198
433	2448	3193
434	2454	3187
435	2459	3182
436	2465	3176
437	2470	3169
438	2475	3163
439	2480	3157
440	2485	3150
441	2490	3144
442	2496	3139
443	2502	3134
444	2508	3128
445	2514	3123
446	2520	3117
447	2525	3111
448	2530	3105
449	2535	3099
450	2540	3092
451	2546	3087
452	2551	3081
453	2556	3074
454	2562	3069
455	2567	3062
456	2572	3056
457	2577	3050
458	2583	3044
459	2588	3038
460	2593	3032
461	2599	3027
462	2604	3021
463	2610	3015
464	2616	3010
465	2622	3005
466	2628	3000
467	2634	2994
468	2639	2988
469	2645	2983
470	2650	2977
471	2655	2970
472	2661	2965
473	2666	2959
474	2671	2952
475	2677	2947
476	2682	2940
477	2687	2934
478	2693	2929
479	2698	2923
480	2703	2917
481	2709	2912
482	2714	2905
483	2719	2899
484	2725	2893
485	2730	2887
486	2735	2881
487	2740	2875
488	2745	2869
489	2751	2864
490	2758	2859
491	2764	2853
492	2770	2849
493	2777	2845
494	2785	2841
495	2793	2838
496	2801	2835
497	2813	2836
498	2821	2832
499	2848	2848
500	2859	2847
501	2868	2845
502	2881	2846
503	2892	2846
504	2901	2843
505	2914	2845
506	2929	2849
507	2940	2847
508	2950	2846
509	2959	2843
510	2969	2841
511	2981	2841
512	2990	2838
513	3000	2836
514	3008	2833
515	3017	2830
516	3027	2828
517	3033	2822
518	3039	2816
519	3045	2811
520	3050	2804
521	3058	2800
522	3064	2794
523	3070	2789
524	3076	2783
525	3081	2776
526	3087	2771
527	3093	2765
528	3098	2758
529	3104	2753
530	3110	2747
531	3116	2741
532	3125	2738
533	3130	2732
534	3136	2726
535	3143	2720
536	3148	2714
537	3155	2709
538	3161	2703
539	3167	2697
540	3173	2692
541	3179	2686
542	3184	2680
543	3190	2674
544	3197	2669
545	3204	2664
546	3210	2658
547	3215	2651
548	3220	2645
549	3226	2639
550	3239	2639
551	3247	2635
552	3253	2630
553	3258	2623
554	3264	2617
555	3270	2611
556	3275	2605
557	3281	2599
558	3286	2592
559	3291	2585
560	3297	2580
561	3302	2574
562	3308	2567
563	3314	2562
564	3320	2556
565	3326	2550
566	3331	2544
567	3336	2537
568	3342	2531
569	3347	2525
570	3352	2518
571	3357	2512
572	3362	2506
573	3367	2499
574	3373	2493
575	3379	2487
576	3384	2481
577	3389	2474
578	3396	2469
579	3402	2463
580	3409	2458
581	3416	2453
582	3422	2448
583	3432	2444
584	3439	2439
585	3451	2438
586	3459	2434
587	3468	2429
588	3477	2426
589	3484	2421
590	3492	2416
591	3500	2412
592	3509	2408
593	3519	2405
594	3533	2404
595	3544	2402
596	3552	2398
597	3567	2397
598	3579	2396
599	3589	2393
600	3602	2391
601	3613	2388
602	3619	2383
603	3629	2379
604	3634	2373
605	3643	2368
606	3649	2362
607	3656	2357
608	3662	2351
609	3668	2345
610	3675	2340
611	3681	2334
612	3687	2328
613	3694	2322
614	3700	2316
615	3706	2310
616	3712	2304
617	3717	2298
618	3724	2292
619	3729	2285
620	3734	2279
621	3740	2272
622	3745	2266
623	3751	2260
624	3757	2254
625	3762	2247
626	3768	2241
627	3773	2235
628	3778	2228
629	3783	2222
630	3789	2216
631	3795	2209
632	3799	2203
633	3805	2197
634	3811	2190
635	3816	2184
636	3821	2177
637	3827	2171
638	3832	2164
639	3838	2158
640	3843	2152
641	3848	2145
642	3854	2139
643	3859	2133
644	3864	2126
645	3870	2121
646	3876	2114
647	3881	2108
648	3888	2102
649	3893	2096
650	3899	2090
651	3905	2084
652	3911	2078
653	3917	2072
654	3922	2065
655	3927	2059
656	3933	2053
657	3938	2047
658	3944	2040
659	3949	2034
660	3955	2028
661	3960	2022
662	3966	2015
663	3971	2009
664	3976	2003
665	3983	1997
666	3990	1992
667	3998	1987
668	4007	1982
669	4013	1976
670	4023	1972
671	4030	1967
672	4038	1962
673	4045	1956
674	4055	1952
675	4061	1946
676	4072	1943
677	4113	1953
678	4130	1952
679	4150	1953
680	4167	1952
