iter	MultiClass
222	0.6341650092
223	0.6340337894
224	0.6338929408
225	0.6337871386
226	0.6336794306
227	0.6335405192
228	0.6333006046
229	0.6331275767
230	0.6329320651
231	0.6327706534
232	0.6325577903
233	0.6324349453
234	0.6322361575
235	0.6320003256
236	0.6319500202
237	0.6318307944
238	0.6316132047
239	0.6314165562
240	0.6313043003
241	0.6311817533
242	0.6311115499
243	0.630939534
244	0.6307581769
245	0.6305742717
246	0.630375037
247	0.6302301464
248	0.6301297879
249	0.629851791
250	0.6297067699
251	0.6295543294
252	0.6294462515
253	0.6292894649
254	0.6291127318
255	0.6289542199
256	0.628752379
257	0.6285781523
258	0.6284477189
259	0.6283479597
260	0.6282554535
261	0.6281339213
262	0.6280293319
263	0.627863264
264	0.6275776195
265	0.6274255299
266	0.6273096697
267	0.6271803567
268	0.6270059313
269	0.6269012623
270	0.6267464148
271	0.6266149382
272	0.6264570569
273	0.6263785836
274	0.6262240099
275	0.6260570479
276	0.6258918922
277	0.6256850092
278	0.6255463946
279	0.6253957088
280	0.6251517292
281	0.62504469
282	0.6249596839
283	0.6248039084
284	0.6246944738
285	0.6245572528
286	0.6243802891
287	0.6243012346
288	0.6240653669
289	0.6239108629
290	0.6237646967
291	0.6236225025
292	0.6235035968
293	0.6233891524
294	0.6233152796
295	0.6232571229
296	0.623090759
297	0.6229752782
298	0.6228842732
299	0.6227290029
300	0.6226064256
301	0.6224109536
302	0.6223088242
303	0.6221069431
304	0.6219583176
305	0.6218329929
306	0.6216062927
307	0.6214112799
308	0.62132101
309	0.621213709
310	0.6210588085
311	0.6209653277
312	0.6207808921
313	0.620627148
314	0.6204739187
315	0.620365807
316	0.6202791693
317	0.6201835843
318	0.6200928578
319	0.6199299941
320	0.6198145313
321	0.6196379793
322	0.6195620119
323	0.6194215988
324	0.6193052228
325	0.6191719504
326	0.6189055109
327	0.6186742782
328	0.618586492
329	0.6184615239
330	0.6183491291
331	0.6181964299
332	0.6180665554
333	0.6178247088
334	0.617746751
335	0.6176257755
336	0.6174316303
337	0.6172657607
338	0.6171534997
339	0.6169855273
340	0.6168892328
341	0.6167391616
342	0.6166007162
343	0.6165022329
344	0.6163574773
345	0.6162536412
346	0.6161510108
347	0.61605072
348	0.6159368735
349	0.6157813141
350	0.6156975207
351	0.6155823543
352	0.6155113455
353	0.6153900642
354	0.6153203577
355	0.6151272548
356	0.6149973315
357	0.6148368186
358	0.6147043717
359	0.6145851537
360	0.6144047888
361	0.6142323712
362	0.6140707574
363	0.6139466688
364	0.6138598377
365	0.613740898
366	0.6136062121
367	0.6134663844
368	0.6133643178
369	0.6132725893
370	0.6131794745
371	0.6130922214
372	0.6129628058
373	0.6128330011
374	0.6127223744
375	0.6125793572
376	0.6124739347
377	0.612345746
378	0.612239638
379	0.6121288892
380	0.6119807471
381	0.6118586359
382	0.6117383931
383	0.6116605155
384	0.6115283789
385	0.6114117453
386	0.6112440157
387	0.6111067186
388	0.6110138514
389	0.6108878446
390	0.6107556055
391	0.6106520518
392	0.610544044
393	0.6103965942
394	0.6102659953
395	0.6101030417
396	0.6099536216
397	0.6098268997
398	0.6097115172
399	0.6095417633
400	0.6094522511
401	0.609330603
402	0.609181137
403	0.6090042758
404	0.6089152532
405	0.6088290022
406	0.6087462907
407	0.6086388507
408	0.6085383522
409	0.6084361943
410	0.6083198172
411	0.6081219421
412	0.6080380585
413	0.6079239667
414	0.6077834055
415	0.6076760108
416	0.6075341914
417	0.6074561215
418	0.6073141119
419	0.6071897571
420	0.6070205919
421	0.6069200331
422	0.6068601471
423	0.6068046265
424	0.6067410905
425	0.6066558853
426	0.6065509135
427	0.606458981
428	0.6063554416
429	0.6062334248
430	0.6061714131
431	0.606063218
432	0.6059683478
433	0.6058930094
434	0.6058026107
435	0.6057093023
436	0.6056034463
437	0.6054060056
438	0.605336636
439	0.6052509839
440	0.6051495687
441	0.6050373278
442	0.6049142921
443	0.6048125184
444	0.6047128908
445	0.6046157644
446	0.6045083159
447	0.6044282719
448	0.6043021222
449	0.6041889806
450	0.6041002997
451	0.6039343589
452	0.603832292
453	0.6037500666
454	0.6036358474
455	0.6035438757
456	0.6034285632
457	0.6033173424
458	0.6032506295
459	0.6031347877
460	0.6030522406
461	0.602969781
462	0.6028062363
463	0.602671688
464	0.6025874067
465	0.6024863997
466	0.6023963886
467	0.6022812398
468	0.6022223642
469	0.6021670378
470	0.6020763468
471	0.6020113841
472	0.6019588774
473	0.601836862
474	0.6017374054
475	0.6015967718
476	0.6014207055
477	0.6013028859
478	0.6012212824
479	0.6011191826
480	0.6009690772
481	0.6007328194
482	0.600658936
483	0.6005613263
484	0.6004726102
485	0.6003669326
486	0.6002915889
487	0.6001785589
488	0.6001010565
489	0.5999861426
490	0.5998740242
491	0.5997674402
492	0.5996643968
493	0.599572302
494	0.5994805926
495	0.5993943074
496	0.5992414924
497	0.5991174219
498	0.5990041558
499	0.5989361496
500	0.5988229231
501	0.5987389622
502	0.598664723
503	0.5984905702
504	0.5984209133
505	0.5983426756
506	0.5982485515
507	0.5981716543
508	0.5980988966
509	0.5980249686
510	0.597916611
511	0.5978259898
512	0.5976893613
513	0.5976071884
514	0.5974730434
515	0.5973696463
516	0.5972855951
517	0.5972235008
518	0.5971667212
519	0.5970950165
520	0.5970396101
521	0.5969355695
522	0.596842643
523	0.5967154817
524	0.5965969028
525	0.5964390347
526	0.5963602578
527	0.596218333
528	0.5960910677
529	0.5960116624
530	0.595882664
531	0.5958345451
532	0.5957288425
533	0.5955952092
534	0.5954745037
535	0.5953313863
536	0.5952498577
537	0.5951598887
538	0.5950996223
539	0.5949451589
540	0.5948577363
541	0.5947076953
542	0.5946365881
543	0.5945685344
544	0.5944032351
545	0.5943466875
546	0.5942145263
547	0.5941645053
548	0.5940391359
549	0.5939849484
550	0.5939415717
551	0.593823767
552	0.5936885622
553	0.5935840218
554	0.5934401299
555	0.5933602818
556	0.5932684909
557	0.5932119587
558	0.5931498507
559	0.5930897984
560	0.5928976726
561	0.5927371467
562	0.5926409541
563	0.5925247171
564	0.5924761866
565	0.5923914483
566	0.5922842034
567	0.5922121856
568	0.5921324667
569	0.5920719217
570	0.5920008877
571	0.5919498706
572	0.591837988
573	0.5917686976
574	0.5916393006
575	0.5915641513
576	0.5915093491
577	0.5914063486
578	0.5912868705
579	0.5912168102
580	0.591097188
581	0.5910255334
582	0.5909054945
583	0.5907633028
584	0.5906616339
585	0.5905642487
586	0.5904712563
587	0.5903678478
588	0.5902885359
589	0.5902242269
590	0.5901561169
591	0.5900550214
592	0.589954488
593	0.5898966214
594	0.5897879189
595	0.5897037766
596	0.5896272268
597	0.5894904105
598	0.589362533
599	0.5892441436
600	0.5891329393
601	0.5890274921
602	0.5889357494
603	0.5888989848
604	0.5888261987
605	0.5887503627
606	0.5886394354
607	0.5885775229
608	0.5885222328
609	0.5884381323
610	0.5883389579
611	0.5882343728
612	0.5881540967
613	0.5880049946
614	0.5879098623
615	0.5877830656
616	0.587707857
617	0.5875916871
618	0.5875118404
619	0.5874104076
620	0.5873391436
621	0.5872123194
622	0.5870796265
623	0.5869970765
624	0.5869284069
625	0.5868320664
626	0.586726644
627	0.586632212
628	0.5865803049
629	0.5865342938
630	0.5864652991
631	0.5863908086
632	0.5862885552
633	0.5861738828
634	0.5861118524
635	0.5859621849
636	0.58588939
637	0.5857864185
638	0.5857196137
639	0.5856346574
640	0.5854973179
641	0.5854238102
642	0.5853810724
643	0.5853045967
644	0.5851994836
645	0.5851119144
646	0.5850200922
647	0.5849386384
648	0.5848647016
649	0.584751213
650	0.584643723
651	0.5845253177
652	0.5842816366
653	0.5842100302
654	0.5841103341
655	0.5839553296
656	0.5838947068
657	0.5838469746
658	0.5837678149
659	0.5836711447
660	0.5835031076
661	0.583436996
662	0.5833947778
663	0.5833314424
664	0.5832162381
665	0.5830725202
666	0.5829872502
667	0.5828450816
668	0.5827657465
669	0.5827156358
670	0.5826412477
671	0.5825692492
672	0.5825221392
673	0.5824704377
674	0.5823598873
675	0.5822929145
676	0.5822021983
677	0.5821182656
678	0.5819762996
679	0.5818472181
680	0.5817871664
681	0.5816904319
682	0.5816190254
683	0.5815762148
684	0.581468002
685	0.5814120412
686	0.5813220521
687	0.581253687
688	0.5811420008
689	0.5810864882
690	0.5810268485
691	0.5809844491
692	0.580862024
693	0.5807382076
694	0.5806789083
695	0.5805990966
696	0.5804509968
697	0.5803968453
698	0.5803402554
699	0.580246406
700	0.5801809005
701	0.5801168353
702	0.5800254422
703	0.5799283715
704	0.5798077838
705	0.57969246
706	0.5795891357
707	0.5794504062
708	0.5793701254
709	0.5793044516
710	0.5792297455
711	0.5791292081
712	0.5790281802
713	0.5789426599
714	0.5788978213
715	0.5788149429
716	0.5786261084
717	0.5785858782
718	0.5785367443
719	0.5784638838
720	0.5783961781
721	0.5783230189
722	0.578291351
723	0.5781777983
724	0.5781011373
725	0.5780158802
726	0.5779165859
727	0.5778276901
728	0.5777852281
729	0.5777012254
730	0.5776096191
731	0.5775191187
732	0.5774327541
733	0.5773707266
734	0.5772934876
735	0.5772073414
736	0.5771201004
737	0.5770013113
738	0.57690522
739	0.5768399244
740	0.5767803847
741	0.5767211368
742	0.5766340326
743	0.5765621051
744	0.5764619069
745	0.5763810018
746	0.5763214117
747	0.5762740945
748	0.5761562563
749	0.5760969747
750	0.5760071887
751	0.5759425958
752	0.5758766354
753	0.5757652766
754	0.5756441447
755	0.5755438958
756	0.5754100441
757	0.5753534941
758	0.5752980172
759	0.5752292808
760	0.5751519403
761	0.5750730339
762	0.5750074973
763	0.5749491066
764	0.5749024641
765	0.5748206399
766	0.5747339319
767	0.574664579
768	0.574582903
769	0.5744545046
770	0.5743949884
771	0.5743191518
772	0.5742710656
773	0.5741334287
774	0.5740521739
775	0.5739786807
776	0.5739118381
777	0.5738045072
778	0.573744341
779	0.5736778016
780	0.5735335283
781	0.573490396
782	0.5734306073
783	0.573364879
784	0.5733016267
785	0.573206125
786	0.5731152557
787	0.5730800289
788	0.5729933044
789	0.5728762427
790	0.5727975881
791	0.572684657
792	0.5725836477
793	0.5725278471
794	0.5724383867
795	0.5723713954
796	0.5723045092
797	0.5722049685
798	0.5720436001
799	0.5719491637
800	0.5718476445
801	0.5717616573
802	0.5717233818
803	0.5716720573
804	0.5715712581
805	0.5714815387
806	0.5713910291
807	0.5713370266
808	0.5712167581
809	0.5711465205
810	0.5710722912
811	0.5710005419
812	0.570944018
813	0.5708301862
814	0.5707725828
815	0.5706954454
816	0.570573902
817	0.5704544095
818	0.5703224892
819	0.5702131858
820	0.5701603576
821	0.5700800919
822	0.5699873619
823	0.5699304977
824	0.5698174578
825	0.5697430093
826	0.5696851359
827	0.569640715
828	0.569546646
829	0.5694632196
830	0.5693957573
831	0.5693224994
832	0.5692118728
833	0.5691191694
834	0.5690774281
835	0.5689643678
836	0.5688912582
837	0.5688461669
838	0.5687323261
839	0.5686251288
840	0.5685542558
841	0.5684899291
842	0.5684385165
843	0.5683964253
844	0.5683237219
845	0.5682572472
846	0.5682216919
847	0.5681738873
848	0.5680713167
849	0.567998987
850	0.567923181
851	0.5678696282
852	0.567825214
853	0.5677393428
854	0.5676172505
855	0.5675569458
856	0.5675010479
857	0.5673598753
858	0.5672343988
859	0.5671863958
860	0.5670606532
861	0.5670026762
862	0.5669383676
863	0.5668049334
864	0.5667585477
865	0.5666895669
866	0.5666165397
867	0.5665026806
868	0.5664369651
869	0.5663251634
870	0.5662237219
871	0.5661540867
872	0.5660837497
873	0.5659963341
874	0.565908443
875	0.5658244924
876	0.5657387999
877	0.5656557072
878	0.5655586637
879	0.5654818836
880	0.5653734132
881	0.565267466
882	0.565196662
883	0.5651369704
884	0.5650140501
885	0.5649591811
886	0.5648563431
887	0.5647933523
888	0.5646961711
889	0.564639502
890	0.5645428047
891	0.5644899237
892	0.564429538
893	0.5643784355
894	0.5642955908
895	0.5641968554
896	0.5641021948
897	0.5640353988
898	0.5639737042
899	0.5639167242
900	0.5638075664
901	0.5636727885
902	0.5636104443
903	0.5635465605
904	0.5635001984
905	0.5634531742
906	0.56337548
907	0.5633247018
908	0.5632415005
909	0.5631692689
910	0.5631043433
911	0.5630068357
912	0.5629250862
913	0.5628392897
914	0.5627641384
915	0.5626693543
916	0.5626129947
917	0.5625554354
918	0.5624940857
919	0.5623885921
920	0.562308133
921	0.5622368579
922	0.5621775251
923	0.562138944
924	0.5620494792
925	0.5619613896
926	0.5618922686
927	0.5617967732
928	0.5617634584
929	0.5616955864
930	0.5616383999
931	0.5615022607
932	0.5613992666
933	0.5613220627
934	0.5612734185
935	0.5611994463
936	0.5611433049
937	0.5610758496
938	0.5610150902
939	0.5609096373
940	0.5608003913
941	0.5607496198
942	0.5606920941
943	0.5606499109
944	0.5605645678
945	0.5605273666
946	0.5604322483
947	0.5603441976
948	0.5602796171
949	0.560223821
950	0.5601441227
951	0.5600599902
952	0.5599277011
953	0.5598686642
954	0.5598136542
955	0.5597375073
956	0.5596836347
957	0.5596105593
958	0.5595608174
959	0.5594724897
960	0.5594237712
961	0.5593585027
962	0.5593048122
963	0.55921947
964	0.5591470575
965	0.5590809738
966	0.559027566
967	0.5589164185
968	0.5588174206
969	0.5587763133
970	0.5586817283
971	0.5585910531
972	0.5584968661
973	0.5584331634
974	0.5583241039
975	0.5582681601
976	0.5581858057
977	0.5581027886
978	0.5580185166
979	0.557952921
980	0.5578567995
981	0.5578114951
982	0.5577738586
983	0.5577309938
984	0.5576571791
985	0.557588981
986	0.557527056
987	0.5574316396
988	0.5573950548
989	0.557348225
990	0.5572631479
991	0.557180616
992	0.5571159739
993	0.5570342729
994	0.5569834813
995	0.5568991053
996	0.5568543235
997	0.5567744145
998	0.5566970512
999	0.5565809014
